Autor;País;Nacimiento;Defunción
Alarcón, Pedro Antonio de;España;1833;1891
Alas, Leopoldo (Clarín);España;1852;1901
Aldecoa, Ignacio;España;1925;1969
Alegría, Ciro;Perú;1909;1967
Alonso, Manuel A.;Puerto Rico;1822;1889
Anderson Imbert, Enrique;Argentina;1910;2000
Arenal, Humberto;Cuba;1926;2012
Arévalo Martínez, Rafael;Guatemala;1884;1975
Arguedas, José María;Perú;1911;1969
Arlt, Roberto;Argentina;1900;1942
Arredondo, Inés;México;1928;1989
Arreola, Juan José;México;1918;2001
Asturias, Miguel Ángel;Guatemala;1899;1974
Ayala, Francisco;España;1906;2009
Bareiro Saguier, Rubén;Paraguay;1930;2014
Baroja, Pío;España;1872;1956
Barreto, Héctor;Chile;1916;1936
Bécquer, Gustavo Adolfo;España;1836;1870
Belaval, Emilio S.;Puerto Rico;1903;1972
Benavente, Jacinto;España;1866;1954
Benedetti, Mario;Uruguay;1920;2009
Bioy Casares, Adolfo;Argentina;1914;1999
Blanco, Andrés Eloy;Venezuela;1896;1955
Blasco Ibáñez, Vicente;España;1867;1928
Bombal, María Luisa;Chile;1910;1980
Borges, Jorge Luis;Argentina;1899;1986
Bosch, Juan;República Dominicana;1909;2001
Caballero, Fernán;España;1796;1877
Cáceres Lara, Víctor;Honduras;1915;1993
Camacho, Juan Vicente;Venezuela;1829;1872
Carpentier, Alejo;Cuba;1904;1980
Carrasquilla, Tomás;Colombia;1858;1940
Carrington, Leonora;México;1917;2011
Cela, Camilo José;España;1916;2002
Cernuda, Luis;España;1902;1963
Cervantes, Miguel de;España;1547;1616
Chacel, Rosa;España;1898;1994
Coll, Pedro Emilio;Venezuela;1872;1947
Coloane, Francisco;Chile;1910;2002
Congrains Martín, Enrique;Perú;1932;2009
Conti, Haroldo;Argentina;1925;1976
Cortázar, Julio;Argentina;1914;1984
d'Halmar, Augusto;Chile;1882;1950
Dabove, Santiago;Argentina;1889;1951
Darío, Rubén;Nicaragua;1867;1916
Delibes, Miguel;España;1920;2010
Denevi, Marco;Argentina;1922;1998
Díaz Alfaro, Abelardo;Puerto Rico;1919;1999
Díaz Grullón, Virgilio;República Dominicana;1924;2001
Díaz Rodríguez, Manuel;Venezuela;1871;1927
Díaz Valcárcel, Emilio;Puerto Rico;1929;2015
Dieste, Rafael;España;1899;1981
Donoso, José;Chile;1924;1997
Echeverría, Esteban;Argentina;1805;1851
Edwards, José;Chile;1910;1970
Emar, Juan;Chile;1893;1964
Fernández, Macedonio;Argentina;1874;1952
Fernández Flórez, Wenceslao;España;1885;1964
Fernández Santos, Jesús;España;1926;1988
Fuentes, Carlos;México;1928;2012
Gallegos, Rómulo;Venezuela;1884;1969
García Lorca, Federico;España;1898;1936
García Márquez, Gabriel;Colombia;1927;2014
Garmendia, Julio;Venezuela;1898;1977
Garmendia, Salvador;Venezuela;1928;2001
Garro, Elena;México;1916;1998
Gómez de la Serna, Ramón;España;1888;1963
González, José Luis;Puerto Rico;1926;1996
González Zeledón, Manuel;Costa Rica;1864;1936
Gudiño Kieffer, Eduardo;Argentina;1935;2002
Güiraldes, Ricardo;Argentina;1886;1927
Gutiérrez Nájera, Manuel;México;1859;1895
Guzmán, Martín Luis;México;1887;1976
Guzmán, Augusto;Bolivia;1903;1994
Hernández, Felisberto;Uruguay;1902;1963
Hernández, Efrén;México;1904;1958
Huidobro, Vicente;Chile;1893;1948
Jaimes Freyre, Ricardo;Bolivia;1868;1933
Jardiel Poncela, Enrique;España;1901;1952
Jiménez, Juan Ramón;España;1881;1958
Juan Manuel;España;1282;1348
Lastarria, José Victorino;Chile;1817;1888
Lezama Lima, José;Cuba;1910;1976
Lillo, Baldomero;Chile;1867;1923
López Portillo y Rojas, José;México;1850;1923
López y Fuentes, Gregorio;México;1897;1966
Lugones, Leopoldo;Argentina;1874;1938
Lyra, Carmen;Costa Rica;1887;1949
Mallea, Eduardo;Argentina;1903;1982
Marqués, René;Puerto Rico;1919;1979
Martínez Ruiz, José (Azorín);España;1873;1967
Matute, Ana María;España;1926;2014
Menéndez Leal, Álvaro;El Salvador;1931;2000
Monterroso, Augusto;Guatemala;1921;2003
Mujica Láinez, Manuel;Argentina;1910;1984
Mutis, Álvaro;Colombia;1923;2013
Novás Calvo, Lino;Cuba;1903;1983
Ocampo, Silvina;Argentina;1913;1993
Onetti, Juan Carlos;Uruguay;1909;1994
Ortega y Gasset, José;España;1883;1955
Palacio, Pablo;Ecuador;1906;1947
Palacio Valdés, Armando;España;1853;1938
Palma, Ricardo;Perú;1833;1919
Pardo Bazán, Emilia;España;1851;1921
Payno, Manuel;México;1810;1894
Paz, Octavio;México;1914;1998
Pérez Galdós, Benito;España;1843;1920
Pi y Margall, Francisco;España;1824;1901
Piñera, Virgilio;Cuba;1912;1979
Pitol, Sergio;México;1933;2018
Pocaterra, José Rafael;Venezuela;1889;1955
Quiroga, Horacio;Uruguay;1878;1937
Revueltas, José;México;1914;1976
Reyes, Alfonso;México;1889;1959
Ribeyro, Julio Ramón;Perú;1929;1994
Rivera, Andrés;Argentina;1928;2016
Roa Bastos, Augusto;Paraguay;1917;2005
Rodríguez Castelao, Alfonso;España;1886;1950
Rojas, Manuel;Chile;1896;1973
Romero de Terreros, Manuel;México;1880;1968
Rulfo, Juan;México;1918;1986
Ruyra, Joaquim;España;1858;1939
Salarrué;El Salvador;1899;1975
Sender, Ramón J.;España;1901;1982
Sinán, Rogelio;Panamá;1902;1994
Soto, Pedro Juan;Puerto Rico;1928;2002
Tapia y Rivera, Alejandro;Puerto Rico;1826;1882
Torri, Julio;México;1889;1970
Trigo, Felipe;España;1864;1916
Unamuno, Miguel de;España;1864;1936
Úslar Pietri, Arturo;Venezuela;1906;2001
Valadés, Edmundo;México;1915;1994
Valera, Juan;España;1824;1905
Valle Inclán, Ramón del;España;1866;1936
Viana, Javier de;Uruguay;1868;1926
Walsh, Rodolfo;Argentina;1927;1977
Wilcock, Juan Rodolfo;Argentina;1919;1978
Zayas, María de;España;1590;1661
Zorrilla, José;España;1817;1893
