Título;Autor;Año;MTLD;Palabras;TTR
El milagro de la diosa Durga;Pardo Bazán, Emilia;NA; 90,804985; 1373;0,5032775
El milagro del hermanuco;Pardo Bazán, Emilia;NA;104,154950; 1839;0,4611202
El molino;Pardo Bazán, Emilia;NA; 84,526300; 2175;0,4717241
El montero;Pardo Bazán, Emilia;NA;119,215947; 1229;0,5020342
El niño de San Antonio;Pardo Bazán, Emilia;NA;105,573810; 1529;0,4735121
El oficio de difuntos;Pardo Bazán, Emilia;NA;112,881498; 1557;0,4778420
El pajarraco;Pardo Bazán, Emilia;NA;120,996197; 2423;0,4754437
El palacio de Artasar;Pardo Bazán, Emilia;NA;107,219373; 1316;0,5106383
El palacio frío;Pardo Bazán, Emilia;NA; 97,260272; 1537;0,4860117
El pecado de Yemsid;Pardo Bazán, Emilia;NA; 72,975973; 1215;0,5053498
El peligro del rostro;Pardo Bazán, Emilia;NA;113,379876; 1423;0,4954322
El peregrino;Pardo Bazán, Emilia;NA;108,854899; 2058;0,4572400
El pinar del tío Ambrosio;Pardo Bazán, Emilia;NA;132,599072; 1382;0,4934877
El Pozo de la Vida;Pardo Bazán, Emilia;NA;116,380588; 1316;0,5075988
El quinto;Pardo Bazán, Emilia;NA;161,341057; 1429;0,5234430
El revólver;Pardo Bazán, Emilia;NA;112,594311; 1492;0,4845845
El rizo del Nazareno;Pardo Bazán, Emilia;NA;115,787920; 4192;0,4367844
El rompecabezas;Pardo Bazán, Emilia;NA;103,501386; 1226;0,4967374
El ruido;Pardo Bazán, Emilia;NA;118,320750; 1397;0,5232641
El Santo Grial;Pardo Bazán, Emilia;NA;100,966678; 1457;0,4962251
El señor doctoral;Pardo Bazán, Emilia;NA;116,733272; 3180;0,4257862
El sino;Pardo Bazán, Emilia;NA;129,319745; 1486;0,5148048
El talismán;Pardo Bazán, Emilia;NA;100,918048; 2262;0,4341291
El tapiz;Pardo Bazán, Emilia;NA;113,484187; 1112;0,5062950
El templo;Pardo Bazán, Emilia;NA;110,264110; 1432;0,5055866
El tesoro;Pardo Bazán, Emilia;NA;104,133365; 1325;0,5011321
El tesoro de los Lagidas;Pardo Bazán, Emilia;NA;121,237464; 1355;0,5114391
El tetrarca en la aldea;Pardo Bazán, Emilia;NA;121,237464; 1355;0,5114391
Amor secreto;Payno, Manuel;1843;102,828902; 2279;0,4093901
El ramo azul;Paz, Octavio;NA;141,399956;  820;0,5658537
Maravillas de la voluntad;Paz, Octavio;NA;109,986187;  397;0,6322418
Prisa;Paz, Octavio;1949; 51,331566;  498;0,5220884
¿Dónde está mi cabeza?;Pérez Galdós, Benito;NA;122,697048; 2133;0,4594468
El don Juan;Pérez Galdós, Benito;NA;115,723952; 1654;0,4770254
Rompecabezas;Pérez Galdós, Benito;NA;134,688585; 1570;0,4961783
El hurto;Pi y Margall, Francisco;1913; 83,870422;  597;0,5460637
En el insomnio;Piñera, Virgilio;NA; 60,416427;  153;0,6405229
La carne;Piñera, Virgilio;NA;117,669188; 1052;0,4914449
Natación;Piñera, Virgilio;1957; 59,126657;  186;0,6344086
Ícaro;Pitol, Sergio;1968;121,185711; 2753;0,4271704
La pantera;Pitol, Sergio;1960;146,532750; 1257;0,5409706
Victorio Ferri cuenta un cuento;Pitol, Sergio;NA;  3,000000;    3;1,0000000
La casa de la bruja;Pocaterra, José Rafael;1922;130,204191; 2102;0,4776403
Redención;Pocaterra, José Rafael;1922;141,696906; 1036;0,5415058
A la deriva;Quiroga, Horacio;1917;116,411562; 1076;0,4795539
CUENTOS DE AMOR DE LOCURA Y DE MUERTE - Libro completo;Quiroga, Horacio;1917;116,411562; 1076;0,4795539
CUENTOS DE LA SELVA - Libro completo;Quiroga, Horacio;1917;116,411562; 1076;0,4795539
El alambre de púa;Quiroga, Horacio;1917;102,403953; 3373;0,3465757
El almohadón de plumas;Quiroga, Horacio;1917;101,841169; 1232;0,4788961
El balde;Quiroga, Horacio;NA;109,280398; 1547;0,4369748
El conductor del rápido;Quiroga, Horacio;1917;143,035904; 2992;0,3947193
El desierto;Quiroga, Horacio;1924;126,963418; 5637;0,3313819
EL DESIERTO - Libro completo;Quiroga, Horacio;1924;126,963418; 5637;0,3313819
El espectro;Quiroga, Horacio;1924;109,161363; 3566;0,3395962
El gerente;Quiroga, Horacio;1906;129,296685;  986;0,4888438
El globo de fuego;Quiroga, Horacio;NA;118,110967; 1019;0,4887144
El haschich;Quiroga, Horacio;1904; 87,099615; 1617;0,4285714
El hijo;Quiroga, Horacio;NA; 91,922222; 1704;0,3967136
El hombre muerto;Quiroga, Horacio;1920;113,044812; 1444;0,4030471
El infierno artificial;Quiroga, Horacio;1917;123,534811; 2498;0,4103283
El loro pelado;Quiroga, Horacio;1918; 91,275361; 1840;0,3543478
El paso del Yabebirí;Quiroga, Horacio;1918; 85,574732; 3230;0,2854489
El perro rabioso;Quiroga, Horacio;1917; 90,595972; 2746;0,3736344
El potro salvaje;Quiroga, Horacio;1924;111,839939; 1432;0,3931564
El síncope blanco;Quiroga, Horacio;1924;117,245114; 3344;0,3289474
El solitario;Quiroga, Horacio;1917;125,326186; 1514;0,4425363
El vampiro;Quiroga, Horacio;NA;114,445909;  900;0,4722222
Historia de dos cachorros de coatí y de dos cachorros de hombre;Quiroga, Horacio;1918; 99,919379; 2276;0,3374341
Juan Darién;Quiroga, Horacio;1924;104,173192; 4272;0,3089888
La abeja haragana;Quiroga, Horacio;1918; 93,715822; 1990;0,3758794
La gallina degollada;Quiroga, Horacio;1917;135,543072; 2400;0,4166667
La gama ciega;Quiroga, Horacio;1918; 92,473304; 1862;0,3775510
La guerra de los yacarés;Quiroga, Horacio;1918; 87,721695; 2947;0,2935188
La insolación;Quiroga, Horacio;1917;131,439165; 2358;0,4062765
La mancha hiptálmica;Quiroga, Horacio;NA;121,575219;  768;0,5000000
La meningitis y su sombra;Quiroga, Horacio;1917;126,480976; 7600;0,2589474
La miel silvestre;Quiroga, Horacio;1917;121,799389; 1731;0,4529174
La muerte de Isolda;Quiroga, Horacio;1917;118,514133; 2249;0,3806136
La patria;Quiroga, Horacio;1924; 93,301859; 2813;0,3498045
La princesa bizantina;Quiroga, Horacio;1904;145,347217; 3594;0,3920423
La tortuga gigante;Quiroga, Horacio;1918; 89,139573; 1709;0,3306027
Las medias de los flamencos;Quiroga, Horacio;1918; 65,998747; 1389;0,3570914
Las moscas;Quiroga, Horacio;NA;126,253602; 1046;0,4856597
Las rayas;Quiroga, Horacio;NA;135,947434; 1028;0,5126459
Las voces queridas que se han callado;Quiroga, Horacio;1908;125,695218;  989;0,4812942
Los bebedores de sangre;Quiroga, Horacio;NA;106,976188; 1259;0,4400318
Los buques suicidantes;Quiroga, Horacio;1917;104,226015; 1173;0,4893436
Los guantes de goma;Quiroga, Horacio;NA;146,959342; 1301;0,4719447
Los mensú;Quiroga, Horacio;1917;142,293823; 3414;0,3995313
Los ojos sombríos;Quiroga, Horacio;1917;142,808937; 2221;0,3899145
Los pescadores de vigas;Quiroga, Horacio;1917;119,450094; 1952;0,4554303
Más allá;Quiroga, Horacio;NA;138,814879; 2927;0,3734199
Nuestro primer cigarro;Quiroga, Horacio;1917;136,200021; 2775;0,4187387
Rea Silvia;Quiroga, Horacio;NA;136,195682; 1487;0,4404842
Un idilio;Quiroga, Horacio;NA;137,487630; 5346;0,2989151
Un peón;Quiroga, Horacio;1924;140,553408; 6319;0,3089096
Una conquista;Quiroga, Horacio;1924; 51,008863; 1639;0,4258694
Una estación de amor;Quiroga, Horacio;1917;137,196289; 6335;0,3065509
Una noche de edén;Quiroga, Horacio;1928;121,953668; 1926;0,4018692
Yaguaí;Quiroga, Horacio;1917;116,050522; 3523;0,3780869
Dios en la tierra;Revueltas, José;1944; 87,290957; 2081;0,4166266
Hegel y yo;Revueltas, José;NA; 49,962449;  129;0,6124031
Algo peor;Reyes, Alfonso;1984; 29,470167;   43;0,8837209
Campeona;Reyes, Alfonso;NA;141,431193;  282;0,7234043
Catástrofes;Reyes, Alfonso;1966; 74,972678;  141;0,7517730
De Kelserling;Reyes, Alfonso;1968; 30,952118;   50;0,8400000
Del bestiario mexicano;Reyes, Alfonso;NA; 65,991107;  191;0,6596859
Del hilo, al ovillo;Reyes, Alfonso;1923; 66,009280;  321;0,5763240
Del perfecto gobernante;Reyes, Alfonso;1923; 55,362365;  260;0,5769231
Diógenes;Reyes, Alfonso;1923; 65,373666;  187;0,6524064
Duelo;Reyes, Alfonso;1966; 20,911330;   42;0,8095238
Educación;Reyes, Alfonso;1968; 38,344560;   83;0,7108434
El buen impresor;Reyes, Alfonso;1923; 51,377683;  127;0,6692913
El chivo padre;Reyes, Alfonso;NA; 45,841553;   79;0,7974684
El cocinero;Reyes, Alfonso;1923; 83,500137;  315;0,6095238
El gallo y el coyote;Reyes, Alfonso;NA; 53,956396;  140;0,6928571
El mono y el tejón;Reyes, Alfonso;NA; 35,000000;   50;0,8800000
El veredicto;Reyes, Alfonso;1966; 64,038556;  192;0,6614583
En el frente;Reyes, Alfonso;1923; 75,663827;  223;0,6681614
Error;Reyes, Alfonso;1966; 22,292011;   35;0,8571429
Explorador;Reyes, Alfonso;1991; 23,845794;   28;0,9642857
La asamblea de los animales;Reyes, Alfonso;2001;121,905685; 1131;0,5534925
La cena;Reyes, Alfonso;NA; 11,000000;   11;1,0000000
La elefanta;Reyes, Alfonso;NA; 48,806360;  124;0,6935484
La fiesta nacional;Reyes, Alfonso;NA; 70,756217;  209;0,6363636
La melancolía del viajero;Reyes, Alfonso;1923; 92,587718;  399;0,6140351
La norma;Reyes, Alfonso;NA; 13,000000;   13;1,0000000
Las dos golondrinas;Reyes, Alfonso;1917; 58,668134;  143;0,6643357
Ley profunda;Reyes, Alfonso;1968; 42,924972;   75;0,8000000
Los alivios;Reyes, Alfonso;1966; 29,230624;   48;0,8333333
Presumida;Reyes, Alfonso;1966; 21,662094;   40;0,8500000
Rancho de prisioneros;Reyes, Alfonso;1923; 56,280197;  108;0,7500000
Ratones;Reyes, Alfonso;NA; 25,425891;   44;0,7954545
Romance viejo;Reyes, Alfonso;1923; 53,984566;  178;0,6348315
Sabor a mí;Reyes, Alfonso;1984; 33,939394;   41;0,9512195
Suicidio;Reyes, Alfonso;1996; 69,599158;  187;0,6684492
Toño Salazar;Reyes, Alfonso;1991; 41,176471;   51;0,9411765
Venganza literaria;Reyes, Alfonso;NA; 68,047165;  466;0,5987124
83;Ribeyro, Julio Ramón;1992; 28,560680;   42;0,8809524
El banquete;Ribeyro, Julio Ramón;1958;120,727501; 1520;0,4789474
El profesor suplente;Ribeyro, Julio Ramón;1964;120,699883; 1701;0,4679600
En el fondo;Ribeyro, Julio Ramón;1989; 15,909091;   26;0,8461538
Estructura;Ribeyro, Julio Ramón;1989; 17,500000;   31;0,8064516
La insignia;Ribeyro, Julio Ramón;1958;133,815590; 1444;0,4993075
La molicie;Ribeyro, Julio Ramón;1958;119,672285; 1723;0,4857806
La primera nevada;Ribeyro, Julio Ramón;1972;143,066667; 2073;0,4438013
La relatividad de nuestras concepciones estéticas;Ribeyro, Julio Ramón;1989; 37,081081;   57;0,8596491
Las cosas andan mal, Carmelo Rosa;Ribeyro, Julio Ramón;1975; 94,467627; 1014;0,4733728
Letrado de ayer;Ribeyro, Julio Ramón;1989; 29,621283;   53;0,7924528
Los gallinazos sin plumas;Ribeyro, Julio Ramón;1955;136,026468; 3409;0,3713699
Los merengues;Ribeyro, Julio Ramón;1958;118,176177; 1015;0,4926108
Luder pasa rápidamente;Ribeyro, Julio Ramón;1989; 28,560680;   42;0,8809524
Naturalidad;Ribeyro, Julio Ramón;1989; 22,080645;   38;0,8157895
Nube de polillas;Ribeyro, Julio Ramón;1989; 18,540541;   29;0,8620690
Perfección;Ribeyro, Julio Ramón;1989; 27,524272;   46;0,8260870
Plagio;Ribeyro, Julio Ramón;1989; 34,735395;   39;0,9743590
Por el corredor;Ribeyro, Julio Ramón;1989; 29,589789;   50;0,8200000
Por las azoteas;Ribeyro, Julio Ramón;1964;149,898085; 2836;0,4136107
Que lo cante;Ribeyro, Julio Ramón;1989; 23,030211;   34;0,8823529
Solo lloran los valientes;Ribeyro, Julio Ramón;1989; 22,920635;   39;0,8205128
Un ligero retraso;Ribeyro, Julio Ramón;1989; 33,560284;   53;0,8490566
Un miserable;Ribeyro, Julio Ramón;1989; 15,044776;   25;0,8400000
Universidades;Ribeyro, Julio Ramón;1989; 25,469697;   42;0,8333333
Vueltas y vueltas;Ribeyro, Julio Ramón;1989; 24,955729;   38;0,8684211
Bailé;Rivera, Andrés;NA;132,215236; 1841;0,4421510
El corrector;Rivera, Andrés;NA; 51,831433;  485;0,5134021
En la mecedora;Rivera, Andrés;NA; 63,067916;  473;0,4883721
Lento;Rivera, Andrés;NA; 64,619822; 1070;0,4299065
Obligaciones;Rivera, Andrés;1952;134,082265; 1447;0,4968901
Tres tazas de té;Rivera, Andrés;1890; 88,767439; 1748;0,4788330
Un asesino de Cristo;Rivera, Andrés;NA; 62,894709; 1234;0,4473258
El prisionero;Roa Bastos, Augusto;1953;126,717684; 2971;0,4113093
Juegos nocturnos;Roa Bastos, Augusto;1969;119,556235; 3015;0,4112769
La excavación;Roa Bastos, Augusto;NA;105,671673; 2123;0,4258125
El retrato;Rodríguez Castelao, Alfonso;NA;112,921123;  675;0,5229630
En la noche de la última novena de difuntos;Rodríguez Castelao, Alfonso;1926; 59,497994;  298;0,5604027
Canto y baile;Rojas, Manuel;NA;108,530490; 4342;0,3530631
El colocolo;Rojas, Manuel;NA;113,815122; 4112;0,3329280
El vaso de leche;Rojas, Manuel;1929;115,018203; 2535;0,3988166
El cofre;Romero de Terreros, Manuel;1922; 93,110121;  701;0,4893010
El sombrero del rey de Tibotú;Romero de Terreros, Manuel;1922; 91,705057;  609;0,5320197
Fray Baltasar;Romero de Terreros, Manuel;1922;100,125783;  785;0,5057325
La puerta de bronce;Romero de Terreros, Manuel;1922;121,887050; 1761;0,4730267
Tristis imago;Romero de Terreros, Manuel;1922; 97,766116;  570;0,5350877
Acuérdate;Rulfo, Juan;NA; 84,494517; 1114;0,4389587
Anacleto Morones;Rulfo, Juan;1953;140,025963; 4405;0,3284904
¡Diles que no me maten!;Rulfo, Juan;NA; 99,859980; 2391;0,3642827
Es que somos muy pobres;Rulfo, Juan;NA; 96,321525; 1626;0,3782288
La noche que lo dejaron solo;Rulfo, Juan;NA;136,865100; 1208;0,4784768
Luvina;Rulfo, Juan;NA;120,303846; 3027;0,3515031
Macario;Rulfo, Juan;NA; 77,806713; 2072;0,3190154
No oyes ladrar a los perros;Rulfo, Juan;NA;125,552628; 1308;0,4327217
Nos han dado la tierra;Rulfo, Juan;NA; 91,428340; 1579;0,3907536
Talpa;Rulfo, Juan;1950; 95,769989; 3409;0,2921678
Aniversario;Ruyra, Joaquim;NA;133,581043; 1232;0,5178571
Finilla;Ruyra, Joaquim;NA;105,472500; 2583;0,4173442
La mirada del pobre;Ruyra, Joaquim;NA;100,731343;  614;0,5618893
La pavura;Ruyra, Joaquim;NA;124,540586; 1520;0,5164474
Las damiselas del mar;Ruyra, Joaquim;NA; 97,379009;  718;0,5598886
Noche de ánimas;Ruyra, Joaquim;NA;120,896040; 1983;0,4609178
Una tarde en el mar;Ruyra, Joaquim;NA;142,809634; 3521;0,4413519
Visión agorera;Ruyra, Joaquim;NA;148,068283; 1203;0,5419784
El cuento de olis olis catrín y el cañonazo;Salarrué;1961; 61,852214;  569;0,4850615
El cuento del cuento que contaron;Salarrué;1961; 34,111111;  307;0,5114007
El río;Salarrué;NA; 32,000000;   32;1,0000000
La botija;Salarrué;1933; 86,513834; 1009;0,4707631
La flor del amor;Salarrué;NA; 25,797422;   69;0,7536232
La justicia;Salarrué;NA; 19,800000;   99;0,6868687
Las campanas;Salarrué;NA; 20,061523;   52;0,7692308
Los dioses;Salarrué;NA; 16,359907;   46;0,6956522
Semos malos;Salarrué;1933;115,889736;  809;0,5562423
El guaje;Sender, Ramón J.;1936; 96,137113;  508;0,5590551
La lección;Sender, Ramón J.;1938;124,706512; 2030;0,4039409
A la orilla de las estatuas maduras;Sinán, Rogelio;1946;146,328475; 4106;0,3251340
La boina roja;Sinán, Rogelio;1954;164,150049; 8121;0,3279153
Campeones;Soto, Pedro Juan;NA;119,290595; 1819;0,4370533
Los inocentes;Soto, Pedro Juan;1954; 84,924681; 1513;0,4117647
La Palma del Cacique;Tapia y Rivera, Alejandro;1852;112,167054;11474;0,2963221
A Circe;Torri, Julio;1917; 40,409488;   69;0,8115942
De funerales;Torri, Julio;NA; 68,461590;  121;0,7851240
De fusilamientos;Torri, Julio;1915;130,651517;  471;0,6411890
De la vida maravillosa de Salva-Obstáculos;Torri, Julio;NA; 18,927374;   22;0,9545455
El descubridor;Torri, Julio;NA; 58,337467;   97;0,8144330
El fin de México;Torri, Julio;NA;  4,000000;    4;1,0000000
El héroe;Torri, Julio;1940;136,947211;  377;0,6763926
El mal actor de sus emociones;Torri, Julio;NA; 67,456733;  169;0,6863905
El vagabundo;Torri, Julio;NA;103,435329;  301;0,6611296
Era un país pobre;Torri, Julio;NA; 14,048611;   17;0,9411765
Estampa;Torri, Julio;NA; 89,339468;  158;0,7848101
Fantasías mexicanas;Torri, Julio;NA; 65,666667;  197;0,6345178
La amada desconocida;Torri, Julio;NA;108,348285;  348;0,6465517
La balada de las hojas más altas;Torri, Julio;NA; 49,741849;  166;0,6445783
La cocinera;Torri, Julio;NA; 19,165775;   32;0,8125000
La conquista de la luna;Torri, Julio;NA; 10,000000;   10;1,0000000
La feria;Torri, Julio;NA; 84,824061;  285;0,6456140
La gloriosa;Torri, Julio;NA;108,057562;  296;0,6824324
La humildad premiada;Torri, Julio;NA; 58,615917;  110;0,7545455
Le poète maudit;Torri, Julio;NA; 69,517655;  272;0,6507353
Literatura;Torri, Julio;NA; 61,395749;  159;0,6729560
Los unicornios;Torri, Julio;NA; 98,133019;  292;0,6472603
Mujeres;Torri, Julio;NA; 92,118362;  171;0,7602339
Vieja estampa;Torri, Julio;NA; 39,392301;  141;0,6666667
El oro inglés;Trigo, Felipe;1920;106,540739;  808;0,5284653
El recuerdo;Trigo, Felipe;1920;120,047808; 1837;0,4540011
El suceso del día;Trigo, Felipe;1920;110,740978; 1143;0,5004374
Genio y figura;Trigo, Felipe;1920; 93,514765; 1300;0,4723077
Jugar con el fuego;Trigo, Felipe;1920;133,513757; 1505;0,4797342
La niña mimosa;Trigo, Felipe;1920;110,266633; 1270;0,4952756
La primera conquista;Trigo, Felipe;1920;112,507085;  914;0,5218818
La receta;Trigo, Felipe;1920;171,864390; 1301;0,5342045
La toga;Trigo, Felipe;1920;104,756131;  939;0,5165069
Luzbel;Trigo, Felipe;1920;112,344769; 1198;0,4991653
Mi prima me odia;Trigo, Felipe;1920; 96,939905; 1285;0,4428016
Mujeres prácticas;Trigo, Felipe;1920;144,350293; 1152;0,5060764
Paga anticipada;Trigo, Felipe;1920;113,294716; 1095;0,4831050
Paraíso perdido;Trigo, Felipe;1920;125,994350;  950;0,5400000
Por ahí;Trigo, Felipe;1920;148,710133;  737;0,5820896
Pruebas de amor;Trigo, Felipe;1920; 82,245042; 1198;0,4808013
Tempestad;Trigo, Felipe;1920;127,655190; 1450;0,4744828
Tu llanto y mi risa;Trigo, Felipe;1920; 96,236813;  977;0,5025589
Villaporrilla;Trigo, Felipe;1920;106,704502;  835;0,5508982
Cruce de caminos;Unamuno, Miguel de;NA; 95,387288; 1325;0,4075472
El contertulio;Unamuno, Miguel de;NA; 61,673474; 1714;0,3646441
El misterio inicial de mi vida;Unamuno, Miguel de;NA; 84,610561;  746;0,4571046
En manos de la cocinera;Unamuno, Miguel de;1912; 94,993063; 1372;0,3877551
Historia de V. Goti;Unamuno, Miguel de;1914; 80,425185;  923;0,4463705
La venda;Unamuno, Miguel de;NA; 96,662378; 1465;0,4013652
San Manuel Bueno, mártir - Novela corta;Unamuno, Miguel de;NA; 15,670051;   22;0,9090909
Ver con los ojos;Unamuno, Miguel de;1886;112,508096; 2459;0,4026027
Y va de cuento;Unamuno, Miguel de;1905; 78,259883; 1726;0,3650058
Barrabás;Úslar Pietri, Arturo;1928;112,743948; 1897;0,3795467
El gallo;Úslar Pietri, Arturo;NA; 91,747789; 3147;0,3320623
La lluvia;Úslar Pietri, Arturo;1935;137,141408; 2835;0,4253968
Estuvo en la guerra;Valadés, Edmundo;NA; 64,266599;  314;0,6242038
Final;Valadés, Edmundo;NA; 57,507963;   99;0,7979798
La búsqueda;Valadés, Edmundo;NA; 13,000000;   13;1,0000000
La incrédula;Valadés, Edmundo;NA; 57,833439;  114;0,7280702
La marioneta;Valadés, Edmundo;NA; 63,082949;  117;0,7606838
La muerte tiene permiso;Valadés, Edmundo;1955;115,542797; 1769;0,4381006
Memoria;Valadés, Edmundo;NA; 34,156627;   45;0,9111111
Pobreza;Valadés, Edmundo;NA; 20,396552;   26;0,9230769
¿Por qué?;Valadés, Edmundo;NA; 33,250888;  105;0,5523810
Sueño;Valadés, Edmundo;NA; 20,000000;   20;1,0000000
El caballero de Azor;Valera, Juan;NA;106,301511; 3157;0,4063985
El cocinero del arzobispo;Valera, Juan;1896; 81,865983;  530;0,5452830
El doble sacrificio;Valera, Juan;1842;102,456352; 2646;0,3756614
El pescadorcito Urashima;Valera, Juan;1887;107,688329; 1119;0,4289544
El miedo;Valle Inclán, Ramón del;NA;109,518618; 1252;0,4448882
¡Malpocado!;Valle Inclán, Ramón del;NA;  8,000000;    8;1,0000000
Santa Baya de Cristamilde;Valle Inclán, Ramón del;1904; 96,076686;  802;0,5211970
Los amores de Bentos Sagrera;Viana, Javier de;1896;113,763166; 5685;0,3285840
Cuentos para tahúres;Walsh, Rodolfo;NA; 59,854263; 1864;0,3471030
Esa mujer;Walsh, Rodolfo;NA;134,420327; 2432;0,4157072
Ese hombre;Walsh, Rodolfo;NA;116,645579; 1352;0,4844675
Fotos;Walsh, Rodolfo;1938;117,693259; 1465;0,4935154
Los nutrieros;Walsh, Rodolfo;NA; 67,125003; 1687;0,4072318
Portugueses;Walsh, Rodolfo;NA; 45,995444;  750;0,3346667
Agrimensor Bene Nio;Wilcock, Juan Rodolfo;NA; 80,185178;  425;0,5600000
Capitán Luiso Ferrauto;Wilcock, Juan Rodolfo;NA; 69,489593;  275;0,6290909
El ángel;Wilcock, Juan Rodolfo;NA;102,329640;  424;0,5778302
Giocoso Spelli;Wilcock, Juan Rodolfo;NA; 98,783688;  313;0,6389776
Graziella Link;Wilcock, Juan Rodolfo;NA;111,847461;  407;0,6117936
Ilio Collio;Wilcock, Juan Rodolfo;NA; 99,868023;  362;0,6104972
La Atlántida;Wilcock, Juan Rodolfo;NA; 92,750423;  346;0,6242775
Las muñecas;Wilcock, Juan Rodolfo;NA;101,151575;  430;0,5558140
Los amantes;Wilcock, Juan Rodolfo;NA; 80,932583;  231;0,6363636
Los donguis;Wilcock, Juan Rodolfo;NA;124,789497; 3196;0,4233417
Aventurarse perdiendo;Zayas, María de;NA;100,481908;14674;0,2162328
El castigo de la miseria;Zayas, María de;NA; 90,202408;11434;0,2278293
El jardín engañoso;Zayas, María de;1647; 91,190839; 7044;0,2463089
Estragos que causa el vicio;Zayas, María de;NA; 87,979597;16091;0,2092474
La esclava de su amante;Zayas, María de;NA; 97,095942;18027;0,1969268
La inocencia castigada;Zayas, María de;NA; 84,648420;10508;0,2283974
La mujer negra o una antigua capilla de templario;Zorrilla, José;NA;116,591442; 3220;0,4034161
¿Y aquel entierro que pasa?;Zorrilla, José;1844; 24,855072;   36;0,8888889
